Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Griewangk_D30_Tournament_C0.9_M4.0,Griewangk,30,Tournament,0.9,4.0,0.005556,2.28e-05,0.02688931,0.03155854,400,150,50.0,30,1.92
Michalewicz_D100_Roulette_C0.7_M1.0,Michalewicz,100,Roulette,0.7,1.0,0.000667,-80.82990159,-77.80277512,1.87085906,400,150,50.0,30,2.93
Michalewicz_D100_Roulette_C0.7_M2.0,Michalewicz,100,Roulette,0.7,2.0,0.001333,-85.62271074,-78.4721678,2.59781586,400,150,50.0,30,3.09
Michalewicz_D100_Roulette_C0.7_M4.0,Michalewicz,100,Roulette,0.7,4.0,0.002667,-83.44736751,-79.86050208,2.19500417,400,150,50.0,30,3.06
Michalewicz_D100_Roulette_C0.8_M1.0,Michalewicz,100,Roulette,0.8,1.0,0.000667,-80.82876198,-78.14677646,1.91326168,400,150,50.0,30,2.96
Michalewicz_D100_Roulette_C0.8_M2.0,Michalewicz,100,Roulette,0.8,2.0,0.001333,-81.98390292,-78.28481305,1.52840311,400,150,50.0,30,3.19
Michalewicz_D100_Roulette_C0.8_M4.0,Michalewicz,100,Roulette,0.8,4.0,0.002667,-83.76110968,-79.82584594,2.63121515,400,150,50.0,30,3.26
Michalewicz_D100_Roulette_C0.9_M1.0,Michalewicz,100,Roulette,0.9,1.0,0.000667,-81.50385475,-77.87767759,2.08760937,400,150,50.0,30,2.96
Michalewicz_D100_Roulette_C0.9_M2.0,Michalewicz,100,Roulette,0.9,2.0,0.001333,-83.4014639,-78.95326028,2.62165114,400,150,50.0,30,3.03
Michalewicz_D100_Roulette_C0.9_M4.0,Michalewicz,100,Roulette,0.9,4.0,0.002667,-83.44869414,-79.37759794,2.17863884,400,150,50.0,30,2.99
Michalewicz_D100_Tournament_C0.7_M1.0,Michalewicz,100,Tournament,0.7,1.0,0.000667,-81.13980871,-77.39683285,2.34975709,400,150,50.0,30,2.56
Michalewicz_D100_Tournament_C0.7_M2.0,Michalewicz,100,Tournament,0.7,2.0,0.001333,-83.9283716,-78.5527075,2.77584517,400,150,50.0,30,2.58
Michalewicz_D100_Tournament_C0.7_M4.0,Michalewicz,100,Tournament,0.7,4.0,0.002667,-83.36618002,-80.36156744,1.60369884,400,150,50.0,30,2.59
Michalewicz_D100_Tournament_C0.8_M1.0,Michalewicz,100,Tournament,0.8,1.0,0.000667,-83.458079,-79.12865032,1.96796699,400,150,50.0,30,2.62
Michalewicz_D100_Tournament_C0.8_M2.0,Michalewicz,100,Tournament,0.8,2.0,0.001333,-83.67011786,-79.91518229,2.09717575,400,150,50.0,30,2.72
Michalewicz_D100_Tournament_C0.8_M4.0,Michalewicz,100,Tournament,0.8,4.0,0.002667,-83.08848381,-80.17553594,1.88257764,400,150,50.0,30,2.82
Michalewicz_D100_Tournament_C0.9_M1.0,Michalewicz,100,Tournament,0.9,1.0,0.000667,-86.85449117,-79.85428749,3.17026105,400,150,50.0,30,2.92
Michalewicz_D100_Tournament_C0.9_M2.0,Michalewicz,100,Tournament,0.9,2.0,0.001333,-86.01064644,-80.21288565,2.4686849,400,150,50.0,30,2.93
Michalewicz_D100_Tournament_C0.9_M4.0,Michalewicz,100,Tournament,0.9,4.0,0.002667,-84.78681976,-80.33618049,2.41237703,400,150,50.0,30,2.88
Michalewicz_D2_Roulette_C0.7_M1.0,Michalewicz,2,Roulette,0.7,1.0,0.033333,-1.80130329,-1.80130329,0.0,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.7_M2.0,Michalewicz,2,Roulette,0.7,2.0,0.066667,-1.80130329,-1.7621537,0.14648434,200,100,,30,0.51
Michalewicz_D2_Roulette_C0.7_M4.0,Michalewicz,2,Roulette,0.7,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.8_M1.0,Michalewicz,2,Roulette,0.8,1.0,0.033333,-1.80130329,-1.78172849,0.10541349,200,100,,30,0.53
Michalewicz_D2_Roulette_C0.8_M2.0,Michalewicz,2,Roulette,0.8,2.0,0.066667,-1.80130329,-1.78172849,0.10541349,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.8_M4.0,Michalewicz,2,Roulette,0.8,4.0,0.133333,-1.80130329,-1.78172849,0.10541349,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.9_M1.0,Michalewicz,2,Roulette,0.9,1.0,0.033333,-1.80130329,-1.74257891,0.17617314,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.9_M2.0,Michalewicz,2,Roulette,0.9,2.0,0.066667,-1.80130329,-1.7621537,0.14648434,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.9_M4.0,Michalewicz,2,Roulette,0.9,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.52
Michalewicz_D2_Tournament_C0.7_M1.0,Michalewicz,2,Tournament,0.7,1.0,0.033333,-1.80130329,-1.80130329,0.0,200,100,,30,0.51
Michalewicz_D2_Tournament_C0.7_M2.0,Michalewicz,2,Tournament,0.7,2.0,0.066667,-1.80130329,-1.80130329,0.0,200,100,,30,0.51
Michalewicz_D2_Tournament_C0.7_M4.0,Michalewicz,2,Tournament,0.7,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.51
Michalewicz_D2_Tournament_C0.8_M1.0,Michalewicz,2,Tournament,0.8,1.0,0.033333,-1.80130329,-1.80130329,0.0,200,100,,30,0.51
Michalewicz_D2_Tournament_C0.8_M2.0,Michalewicz,2,Tournament,0.8,2.0,0.066667,-1.80130329,-1.80130329,0.0,200,100,,30,0.49
Michalewicz_D2_Tournament_C0.8_M4.0,Michalewicz,2,Tournament,0.8,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.5
Michalewicz_D2_Tournament_C0.9_M1.0,Michalewicz,2,Tournament,0.9,1.0,0.033333,-1.80130329,-1.80130329,0.0,200,100,,30,0.4
Michalewicz_D2_Tournament_C0.9_M2.0,Michalewicz,2,Tournament,0.9,2.0,0.066667,-1.80130329,-1.80130329,0.0,200,100,,30,0.41
Michalewicz_D2_Tournament_C0.9_M4.0,Michalewicz,2,Tournament,0.9,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.42
Michalewicz_D30_Roulette_C0.7_M1.0,Michalewicz,30,Roulette,0.7,1.0,0.002222,-25.93517351,-24.18993017,1.0303399,400,150,50.0,30,1.79
Michalewicz_D30_Roulette_C0.7_M2.0,Michalewicz,30,Roulette,0.7,2.0,0.004444,-25.93385271,-24.33344109,0.85523641,400,150,50.0,30,1.78
Michalewicz_D30_Roulette_C0.7_M4.0,Michalewicz,30,Roulette,0.7,4.0,0.008889,-27.5968878,-24.4568569,1.03840755,400,150,50.0,30,1.79
Michalewicz_D30_Roulette_C0.8_M1.0,Michalewicz,30,Roulette,0.8,1.0,0.002222,-25.79672967,-23.89253128,0.96836778,400,150,50.0,30,1.78
Michalewicz_D30_Roulette_C0.8_M2.0,Michalewicz,30,Roulette,0.8,2.0,0.004444,-26.58538402,-24.49928645,1.02764496,400,150,50.0,30,1.8
Michalewicz_D30_Roulette_C0.8_M4.0,Michalewicz,30,Roulette,0.8,4.0,0.008889,-26.67355382,-25.01073434,0.78622789,400,150,50.0,30,1.8
Michalewicz_D30_Roulette_C0.9_M1.0,Michalewicz,30,Roulette,0.9,1.0,0.002222,-25.99586912,-24.20127719,1.16176065,400,150,50.0,30,1.82
Michalewicz_D30_Roulette_C0.9_M2.0,Michalewicz,30,Roulette,0.9,2.0,0.004444,-26.43684947,-24.32725858,1.04037423,400,150,50.0,30,1.8
Michalewicz_D30_Roulette_C0.9_M4.0,Michalewicz,30,Roulette,0.9,4.0,0.008889,-27.23880906,-24.75215226,1.14144339,400,150,50.0,30,1.81
Michalewicz_D30_Tournament_C0.7_M1.0,Michalewicz,30,Tournament,0.7,1.0,0.002222,-26.96680459,-24.52936226,1.23985048,400,150,50.0,30,1.5
Michalewicz_D30_Tournament_C0.7_M2.0,Michalewicz,30,Tournament,0.7,2.0,0.004444,-26.65470856,-24.85995097,1.10777359,400,150,50.0,30,1.51
Michalewicz_D30_Tournament_C0.7_M4.0,Michalewicz,30,Tournament,0.7,4.0,0.008889,-26.45863773,-24.8096619,0.86544425,400,150,50.0,30,1.51
Michalewicz_D30_Tournament_C0.8_M1.0,Michalewicz,30,Tournament,0.8,1.0,0.002222,-26.63613766,-24.79302435,1.12071014,400,150,50.0,30,1.51
